img,imgTransferSize,imgActualSize
Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTE5NjkmdGw9MTI5NjAw&piggybackCookie=8fef58d3-75c0-4db8-bc98-d91b07260fc7-62634a51-504b&gdpr=&gdpr_consent=,232,42.0
setuid?bidder=improvedigital&uid=8dfa05dc-0e40-4f2d-a768-cf5cd8687e65,692,0.0
Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTM0MDEmdGw9NDMyMDA=&piggybackCookie=8415910916626019908,187,42.0
Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTQ2MSZ0bD0xMDA4MA==&piggybackCookie=AAAGpWrpmYyNBAMOHY3sAAAAAAA&expiration=1650760658&nuid=83C3860B-5829-4E24-8013-F41F7C635C9C&is_secure=true&gdpr_consent=&gdpr=0,359,42.0
getuid?https%3A%2F%2Fmp.4dex.io%2Fsetuid%3Fbidder%3Dappnexus%26uid%3D%24UID,844,43.0
setuid?bidder=bidswitch&uid=aacba6f5-80ae-4f92-adc1-cd4dd37ae481&gdpr=&gdpr_consent=&us_privacy=,801,0.0
Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9Mjk0NSZ0bD0xMjk2MDA=&piggybackCookie=aacba6f5-80ae-4f92-adc1-cd4dd37ae481&gdpr=&gdpr_consent=&gdpr_pd=,180,1.0
setuid?bidder=smart&uid=5826798727100499443&gdpr=0&gdpr_consent=,801,0.0
get_user_agent_id?dom_token=smart17&gdpr=0&gdpr_consent=,85,0.0
pixel?google_nid=smart_adserver_eb&google_hm=NTgyNjc5ODcyNzEwMDQ5OTQ0Mw==&gdpr=0&gdpr_consent=,502,170.0
?issi=1&partnerid=124&partneruserid=10c38b8f-2817-401e-b34d-f9f08d7a532c&gdpr_consent=null&gdpr=0,403,43.0
tap.php?v=223352&nid=4584&put=I4cflo7RB_htQcqdYvz1iPPpWvVhslB0ZchrJx649HI,702,42.0
sync?callerId=5&gdpr=1&gdpr_consent=&us_privacy=&redirectUri=https%3A%2F%2Fonetag-sys.com%2Fmatch%2F%3Fint_id%3D107%26uid%3D[ssb_sync_pid],75,0.0
ImgSync?p=159706&gdpr=1&gdpr_consent=&us_privacy=&pu=https%3A%2F%2Fonetag-sys.com%2Fmatch%2F%3Fint_id%3D114%26uid%3D%23PMUID,42,0.0
setuid?bidder=onetag&uid=I4cflo7RB_htQcqdYvz1iPPpWvVhslB0ZchrJx649HI,1093,0.0
?issi=1&partnerid=22&partneruserid=7417172273963925751&gdpr=0&gdpr_consent=,385,43.0
pixel?google_nid=one_tag&google_hm=AAABgFPaWbO_EM8DPkRmiXcYc1z22QOIP3Rqgw,502,170.0
ecm3?ex=onetag.com&id=I4cflo7RB_htQcqdYvz1iPPpWvVhslB0ZchrJx649HI,556,43.0
?int_id=110&uid=,291,0.0
?int_id=106&google_gid=CAESEE1FDueRzuXaAWHhK2i504Q&google_cver=1,291,0.0
sync?&gdpr=1&gdpr_consent=&redir=true&verify=true,124,0.0
?int_id=98&gdpr=1&gdpr_consent=&uid=8415910916626019908,291,0.0
setuid?bidder=33across&uid=117645259336558,1070,0.0
setuid?bidder=33across&uid=117645259336558,872,0.0
mapuid?t=2&member=1001&user=117645259336558&seg_code=33x&random=1650674260,961,43.0
mapuid?t=2&member=1001&user=117645259336558&seg_code=33x&random=1650674260,961,43.0
L2B4TZA6-4-IU19,290,0.0
57336263-4a50-4800-b2e7-07da2c84676f,290,0.0
?tdid=969ce033-ef9e-4880-83c4-291e7cc50cde&ttl=1653266261,370,43.0
?int_id=92&uid=y-1zWmf7NE2uEmHZ2T.4F49U1BNHu6LPYnbZLELgM-~A,291,0.0
7417172273963925751,290,0.0
tap.php?v=223352&nid=4584&put=7MeAQdp4GH6jx4hOVbUqjMe0HmecDCjZpesazM3OlfM,702,42.0
sync?&gdpr=1&gdpr_consent=&redir=true,124,0.0
sync?callerId=5&gdpr=1&gdpr_consent=&us_privacy=&redirectUri=https%3A%2F%2Fonetag-sys.com%2Fmatch%2F%3Fint_id%3D107%26uid%3D[ssb_sync_pid],75,0.0
711916.gif?ct=4&cv=,60,42.0
ImgSync?p=159706&gdpr=1&gdpr_consent=&us_privacy=&pu=https%3A%2F%2Fonetag-sys.com%2Fmatch%2F%3Fint_id%3D114%26uid%3D%23PMUID,39,0.0
setuid?bidder=onetag&uid=7MeAQdp4GH6jx4hOVbUqjMe0HmecDCjZpesazM3OlfM,987,0.0
?tdid=969ce033-ef9e-4880-83c4-291e7cc50cde&ttl=1653266261,370,43.0
receive?partner_id=ADB&partner_device_id=28824263150688835420533749363738407640&pt=08b9d7e3-4cee-40aa-b70d-175cc63ecab2%2C,113,95.0
receive?partner_id=ADB&partner_device_id=26087386095702705684611293155062529345&pt=1a5ab636-08f1-4165-8d1a-3b7ab9b938f0%2C,113,95.0
?int_id=98&gdpr=1&gdpr_consent=&uid=8415910916626019908,291,0.0
L2B4TZA6-4-IU19,290,0.0
pixel?google_nid=one_tag&google_hm=AAABgFPaXsklgEaQGJ1kSxmNBUn-VjScktpq7A,188,170.0
ecm3?ex=onetag.com&id=vNerbN47NktSBhGLIagfErlQ62a5IasMcOJN8grSYuk,556,43.0
?int_id=92&uid=y-1zWmf7NE2uEmHZ2T.4F49U1BNHu6LPYnbZLELgM-~A,291,0.0
57336263-4a50-4800-b2e7-07da2c84676f,290,0.0
7417172273963925751,290,0.0
?int_id=106&google_gid=CAESEE1FDueRzuXaAWHhK2i504Q&google_cver=1,291,0.0
getuid?https%3A%2F%2Fmp.4dex.io%2Fsetuid%3Fbidder%3Dappnexus%26uid%3D%24UID,844,43.0
?int_id=30&uid=aacba6f5-80ae-4f92-adc1-cd4dd37ae481&gdpr=&gdpr_consent=&us_privacy=,291,0.0
setuid?bidder=indexexchange&uid=YmNKVXLKPmRaxSxXlFt3PQAAASYAAAAB,1244,0.0
?int_id=30&uid=aacba6f5-80ae-4f92-adc1-cd4dd37ae481&gdpr=&gdpr_consent=&us_privacy=,291,0.0
pageTransferSize,2853223,
totalByteWeight,14496291,
